Track,MS1,ME1,MS2,ME2,Bound
0,62,65,None,None,0
1,83,86,None,None,0
2,31,34,127,130,0
3,66,69,None,None,0
4,31,42,None,None,0
5,53,57,None,None,0
6,3,7,108,112,0
7,74,78,None,None,0
8,26,30,129,133,0
9,1,5,92,95,0
10,72,75,None,None,0
11,86,90,None,None,0
12,50,54,None,None,0
13,4,8,104,107,0
14,49,53,None,None,0
15,2,6,113,116,0
16,13,17,117,121,0
17,6,11,97,102,0
18,50,53,None,None,0
19,80,86,None,None,0
20,57,60,None,None,0
21,None,None,None,None,0
22,20,23,131,135,0
23,93,97,None,None,0
24,1,7,93,96,0
25,22,26,145,None,0
26,None,None,None,None,0
27,None,None,None,None,1
28,29,39,133,142,0
29,57,61,None,None,0
30,44,49,None,None,0
31,24,28,None,None,0
32,3,None,None,None,0
33,73,77,None,None,0
34,78,81,None,None,0
35,10,15,92,95,0
36,86,90,None,None,0
37,None,None,None,None,0
38,123,None,None,None,0
39,95,101,None,None,0
40,10,14,110,113,0
41,11,14,109,112,0
42,0,3,110,114,0
43,38,47,None,None,0
44,26,30,129,134,0
45,None,None,None,None,0
46,71,73,None,None,0
47,113,118,None,None,1
48,54,57,None,None,0
49,None,None,None,None,0
50,15,19,124,127,0
51,31,36,None,None,1
52,82,87,None,None,1
53,99,102,None,None,0
54,None,None,None,None,1
55,None,None,None,None,1
56,9,13,123,129,0
57,13,18,None,None,1
58,54,58,None,None,0
59,50,54,None,None,0
60,36,41,142,146,0
61,83,86,None,None,0
62,52,57,None,None,0
63,60,65,None,None,0
64,None,None,None,None,0
65,99,102,None,None,0
66,104,106,None,None,0
67,None,None,None,None,1
68,69,72,None,None,0
69,113,116,None,None,0
70,98,110,None,None,1
71,None,None,None,None,1
72,None,None,None,None,1
73,116,120,None,None,0
74,None,None,None,None,0
75,99,103,None,None,0
76,None,None,None,None,0
77,95,100,None,None,1
78,None,None,None,None,1
79,108,112,None,None,0
80,None,None,None,None,0
81,92,95,None,None,0
82,125,127,None,None,0
83,117,120,None,None,0
84,None,None,None,None,1
85,45,48,None,None,1
86,None,None,None,None,1
87,107,111,None,None,0
88,122,126,None,None,0
89,None,None,None,None,1
90,114,118,None,None,0
91,None,None,None,None,0
92,113,116,None,None,1
93,88,92,None,None,0
94,None,None,None,None,1
95,None,None,None,None,0
96,142,None,None,None,0
97,None,None,None,None,0
98,None,None,None,None,0
99,70,73,None,None,1
100,None,None,None,None,0
101,119,123,None,None,0
102,103,107,None,None,1
103,130,133,None,None,0
104,None,None,None,None,1
105,119,122,None,None,0
106,127,130,None,None,0
107,None,40,None,None,0
108,135,138,None,None,0
109,122,126,None,None,1
110,143,None,None,None,0
111,None,None,None,None,0
112,None,None,None,None,0
113,None,None,None,None,0
114,None,None,None,None,0
115,139,142,None,None,0
116,None,None,None,None,0
117,None,None,None,None,0
118,None,None,None,None,0
119,None,None,None,None,1
120,None,None,None,None,1
121,None,None,None,None,0
122,None,None,None,None,1
123,None,None,None,None,0
124,None,None,None,None,0
125,None,None,None,None,0
126,None,None,None,None,0
127,None,None,None,None,0
128,146,None,None,None,0
129,None,None,None,None,1
130,None,None,None,None,1
131,None,None,None,None,0
132,None,None,None,None,1
133,None,None,None,None,0
134,None,None,None,None,1
135,None,None,None,None,0
136,None,None,None,None,0
137,None,None,None,None,0
138,None,None,None,None,0
139,None,None,None,None,0
140,None,None,None,None,1
141,None,None,None,None,0
142,None,None,None,None,0
143,None,None,None,None,0
144,None,None,None,None,1
145,None,None,None,None,1
146,None,None,None,None,0
147,None,None,None,None,1
148,None,None,None,None,0
149,None,None,None,None,1
150,99,104,None,None,0
151,None,None,None,None,0
152,None,None,None,None,1
153,None,None,None,None,0
154,100,107,None,None,1
155,93,99,None,None,1
156,None,None,None,None,0
157,144,None,None,None,1
158,None,None,None,None,0
159,None,None,None,None,1
160,None,None,None,None,1
161,None,None,None,None,1
162,None,None,None,None,1
163,None,None,None,None,1
164,None,None,None,None,0
165,None,None,None,None,1
166,None,None,None,None,0
167,None,None,None,None,1
168,None,None,None,None,0
169,None,None,None,None,1
170,None,None,None,None,0
171,None,None,None,None,0
172,None,None,None,None,1
173,None,None,None,None,1
174,132,135,None,None,1
175,None,None,None,None,0
176,None,None,None,None,0
177,None,None,None,None,0
178,None,None,None,None,1
179,None,None,None,None,1
180,None,None,None,None,0
181,None,None,None,None,0
182,None,None,None,None,0
183,None,None,None,None,1
184,None,None,None,None,0
185,None,None,None,None,0
186,None,None,None,None,1
187,None,None,None,None,0
188,None,None,None,None,0
189,None,None,None,None,1
190,None,None,None,None,0
191,None,None,None,None,0
192,None,None,None,None,1
193,None,None,None,None,1
194,None,None,None,None,0
195,140,146,None,None,1
196,None,None,None,None,0
197,None,None,None,None,0
198,None,None,None,None,0
199,None,None,None,None,0
200,None,None,None,None,0
201,None,None,None,None,0
202,None,None,None,None,0
203,None,None,None,None,0
204,None,None,None,None,0
205,None,None,None,None,0
206,None,None,None,None,0
207,None,None,None,None,0
208,None,None,None,None,0
209,None,None,None,None,0
210,None,None,None,None,0
211,None,None,None,None,0
212,None,None,None,None,1
213,None,None,None,None,0
214,None,None,None,None,0
215,139,143,None,None,0
216,None,None,None,None,0
217,None,None,None,None,0
218,None,None,None,None,0
219,None,None,None,None,0
220,None,None,None,None,0
221,None,None,None,None,0
222,140,143,None,None,0
223,None,None,None,None,1
224,None,None,None,None,0
225,None,None,None,None,0
226,None,None,None,None,0
227,None,None,None,None,0
228,None,None,None,None,0
229,None,None,None,None,1
230,None,None,None,None,0
231,127,131,None,None,0
232,None,None,None,None,0
233,None,None,None,None,0
234,None,None,None,None,0
235,None,None,None,None,0
236,None,None,None,None,0
237,None,None,None,None,0
238,None,None,None,None,0
239,None,None,None,None,0
240,None,None,None,None,0
241,None,None,None,None,0
242,None,None,None,None,0
243,None,None,None,None,1
244,None,None,None,None,0
245,None,None,None,None,1
246,None,None,None,None,1
247,None,None,None,None,0
248,None,None,None,None,1
249,None,None,None,None,0
250,None,None,None,None,0
251,None,None,None,None,0
252,None,None,None,None,1
253,None,None,None,None,0
254,None,None,None,None,0
255,None,None,None,None,1
256,None,None,None,None,1