Index,TrackID,#splits,Mitotic Start,Mitotic End,Mitotic Length,Average
1,0,2,59,63,4,4.077844311
2,0,2,121,124,3,
3,1,1,80,84,4,
4,2,2,30,33,3,
5,2,2,125,128,3,
6,3,1,65,68,3,
7,4,1,36,39,3,
8,5,1,52,55,3,
9,6,2,106,110,4,
10,7,2,13,15,2,
11,7,2,72,76,4,
12,8,2,23,28,5,
13,8,2,123,130,7,
14,9,2,91,93,2,
15,10,1,71,73,2,
16,11,1,85,88,3,
17,12,1,51,53,2,
18,13,2,3,6,3,
19,13,2,95,106,11,
20,14,1,48,51,3,
21,15,2,1,3,2,
22,15,2,112,115,3,
23,16,2,12,15,3,
24,16,2,116,119,3,
25,17,2,1,7,6,
26,17,2,95,99,4,
27,18,1,44,52,8,
28,19,1,74,82,8,
29,20,1,56,59,3,
30,21,2,10,14,4,
31,21,2,93,95,2,
32,22,2,17,21,4,
33,22,2,126,133,7,
34,23,2,10,13,3,
35,23,2,85,95,10,
36,24,2,8,11,3,
37,24,2,88,95,7,
38,25,1,20,24,4,
39,26,2,13,18,5,
40,26,2,113,115,2,
41,28,2,33,36,3,
42,28,2,132,138,6,
43,29,1,56,59,3,
44,30,2,43,46,3,
45,30,2,122,129,7,
46,31,1,23,26,3,
47,32,1,8,10,2,
48,33,3,10,13,3,
49,33,3,67,73,6,
50,33,3,140,142,2,
51,34,1,75,79,4,
52,35,2,5,10,5,
53,35,2,85,94,9,
54,36,2,18,22,4,
55,36,2,85,88,3,
56,38,1,135,138,3,
57,39,1,97,99,2,
58,40,2,9,12,3,
59,40,2,104,111,7,
60,41,2,9,13,4,
61,41,2,108,111,3,
62,42,2,109,111,2,
63,43,1,39,42,3,
64,44,2,20,28,8,
65,44,2,127,130,3,
66,46,2,69,72,3,
67,47,1,105,115,10,
68,48,1,50,55,5,
69,50,2,14,17,3,
70,50,2,122,125,3,
71,52,1,78,83,5,
72,53,1,94,98,4,
73,56,2,10,12,2,
74,56,2,118,125,7,
75,58,1,53,56,3,
76,59,2,48,51,3,
77,59,2,121,124,3,
78,60,2,32,39,7,
79,60,2,141,144,3,
80,61,1,78,85,7,
81,62,1,51,54,3,
82,63,1,58,62,4,
83,65,1,93,96,3,
84,66,2,29,32,3,
85,66,2,96,99,3,
86,67,1,46,50,4,
87,68,1,64,68,4,
88,69,2,30,33,3,
89,69,2,109,112,3,
90,70,2,24,26,2,
91,70,2,99,102,3,
92,73,1,103,110,7,
93,75,1,83,90,7,
94,76,1,41,45,4,
95,77,2,10,13,3,
96,77,2,79,86,7,
97,79,1,93,96,3,
98,81,2,76,79,3,
99,82,1,109,112,3,
100,83,1,102,105,3,
101,86,1,18,22,4,
102,87,2,6,8,2,
103,87,2,84,93,9,
104,88,1,104,107,3,
105,90,1,86,97,11,
106,92,1,123,125,2,
107,93,1,67,70,3,
108,94,1,38,41,3,
109,96,1,49,53,4,
110,97,2,4,10,6,
111,97,2,116,118,2,
112,98,2,38,40,2,
113,98,2,102,107,5,
114,101,1,83,91,8,
115,102,1,71,74,3,
116,103,1,95,97,2,
117,105,1,79,84,5,
118,106,1,85,92,7,
119,107,2,19,21,2,
120,107,2,82,85,3,
121,108,2,7,13,6,
122,108,2,94,97,3,
123,109,1,74,83,9,
124,111,2,13,15,2,
125,111,2,95,99,4,
126,113,2,93,97,4,
127,114,1,29,33,4,
128,115,1,88,92,4,
129,116,1,52,59,7,
130,118,1,41,45,4,
131,121,1,35,39,4,
132,123,2,1,8,7,
133,123,2,63,69,6,
134,124,2,19,23,4,
135,124,2,86,90,4,
136,125,1,33,38,5,
137,126,2,1,3,2,
138,126,2,65,67,2,
139,128,1,79,84,5,
140,131,2,6,8,2,
141,131,2,65,69,4,
142,133,2,2,4,2,
143,133,2,59,66,7,
144,136,1,69,72,3,
145,137,1,50,54,4,
146,139,2,12,14,2,
147,139,2,72,74,2,
148,141,1,12,14,2,
149,146,2,67,70,3,
150,148,1,65,67,2,
151,149,1,2,5,3,
152,150,1,19,28,9,
153,151,2,1,4,3,
154,151,2,62,66,4,
155,153,1,60,63,3,
156,158,1,36,38,2,
157,162,1,47,52,5,
158,164,1,49,54,5,
159,166,1,26,30,4,
160,167,1,12,16,4,
161,174,1,37,40,3,
162,176,1,9,12,3,
163,177,1,4,7,3,
164,178,1,6,8,2,
165,180,1,1,4,3,
166,181,1,17,20,3,
167,182,1,2,10,8,