Index,TrackID,#splits,Mitotic Start,Mitotic End,,
1,4,1,36,43,7,4.040816327
2,6,1,43,49,6,
3,7,1,21,25,4,
4,9,1,8,11,3,
5,10,1,69,75,6,
6,12,1,90,95,5,
7,13,2,20,22,2,
8,13,2,126,132,6,
9,14,1,94,98,4,
10,15,1,74,77,3,
11,16,1,98,101,3,
12,18,1,40,44,4,
13,20,1,28,30,2,
14,21,1,104,108,4,
15,22,2,28,30,2,
16,22,2,114,118,4,
17,23,1,61,65,4,
18,25,2,4,8,4,
19,25,2,103,111,8,
20,26,1,63,67,4,
21,28,2,9,12,3,
22,28,2,126,128,2,
23,29,1,57,64,7,
24,31,1,41,45,4,
25,32,1,31,34,3,
26,33,2,10,13,3,
27,33,2,128,135,7,
28,34,1,50,56,6,
29,35,1,68,72,4,
30,36,1,106,109,3,
31,37,2,19,23,4,
32,37,2,125,129,4,
33,38,1,46,50,4,
34,40,1,100,103,3,
35,41,1,49,51,2,
36,42,1,73,75,2,
37,43,1,98,102,4,
38,45,2,8,13,5,
39,45,2,117,122,5,
40,48,2,2,4,2,
41,48,2,102,104,2,
42,50,1,42,45,3,
43,51,1,36,39,3,
44,53,1,67,73,6,
45,54,1,39,44,5,
46,55,2,6,9,3,
47,55,2,120,122,2,
48,57,1,101,103,2,
49,58,1,116,119,3,
50,59,2,22,25,3,
51,59,2,115,120,5,
52,64,1,96,99,3,
53,68,1,85,87,2,
54,69,1,98,103,5,
55,70,1,72,79,7,
56,74,1,115,118,3,
57,75,1,114,119,5,
58,76,1,105,112,7,
59,77,1,96,98,2,
60,82,1,92,98,6,
61,84,1,18,21,3,
62,87,1,42,46,4,
63,89,1,21,24,3,
64,90,1,74,77,3,
65,91,1,93,100,7,
66,92,1,57,61,4,
67,104,1,18,27,9,
68,106,1,5,8,3,
69,108,1,73,77,4,
70,109,1,25,28,3,
71,113,1,79,84,5,
72,114,1,13,16,3,
73,116,1,88,92,4,
74,121,1,8,13,5,
75,125,1,36,40,4,
76,126,1,14,17,3,
77,127,1,21,26,5,
78,129,1,67,73,6,
79,131,1,46,49,3,
80,133,1,31,35,4,
81,134,1,37,41,4,
82,137,1,35,39,4,
83,138,1,41,50,9,
84,140,1,79,81,2,
85,141,1,39,42,3,
86,143,1,51,55,4,
87,144,1,44,47,3,
88,147,1,27,31,4,
89,148,1,21,24,3,
90,151,1,48,52,4,
91,152,1,12,16,4,
92,153,1,20,23,3,
93,157,1,6,9,3,
94,174,1,43,45,2,
95,182,1,36,46,10,
96,185,1,26,28,2,
97,186,1,37,41,4,
98,191,1,32,36,4,