Cell#, multipolar division1, multipolar division2, multipolar division3,mitosis1,division1,cytokinesis failure 1,mitosis2,division2,cytokinesis failure2,mitosis3,division3,cytokinesis failure3,slippage1,slippage2,slippage3,apoptosis,Of of View,END,Remarks
Cell#1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,65,0,0,Remarks: 
Cell#2,0,0,0,51,55,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,Remarks: 
Cell#6,0,0,0,34,39,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#7,0,0,0,37,42,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#8,0,0,0,34,37,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#9,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#10,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#11,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#12,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#14,0,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#16,0,0,0,50,58,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#17,0,0,0,66,69,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#20,0,0,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#21,0,0,0,66,69,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#22,0,0,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#23,0,0,0,61,63,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#25,0,0,0,39,44,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#26,0,0,0,40,44,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 1| 
Cell#27,0,0,0,65,69,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#1,0,0,0,52,54,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#3,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#4,0,0,0,28,32,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#5,0,0,0,68,71,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#7,0,0,0,22,26,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#8,0,0,0,56,60,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#9,0,0,0,38,41,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#11,0,0,0,65,69,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#12,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#13,0,0,0,71,73,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#14,0,0,0,41,46,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#15,0,0,0,59,63,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#16,0,0,0,39,42,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#17,0,0,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#18,0,0,0,64,66,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#20,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,74,0,Remarks: 
Cell#21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#1,0,0,0,26,33,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#2,0,0,0,34,38,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#3,0,0,0,34,39,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#4,0,0,0,31,33,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#5,0,0,0,33,38,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#7,0,0,0,51,56,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#10,0,0,0,51,54,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#11,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#12,0,0,0,62,66,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#16,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
Cell#17,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,74,Remarks: 
